               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043876,            0.035914,            0.011108,             0.91119,             0.88198,             0.94406,             0.66246,            0.024614,           0.0093888,           0.0017133,           0.0033312,           0.0033312,             0.07002
                   1,            0.031473,            0.029975,           0.0031815,             0.93784,              0.9037,             0.96422,              0.7107,            0.020591,           0.0078731,           0.0012441,           0.0066641,           0.0066641,            0.040019
                   2,            0.028828,             0.02885,           0.0024323,             0.86794,             0.75257,             0.83633,             0.54186,            0.023886,            0.010758,           0.0020573,           0.0099956,           0.0099956,            0.010017
                   3,             0.02551,            0.028063,           0.0022126,             0.94598,             0.91283,             0.96643,             0.72262,            0.018961,           0.0076111,          0.00074772,            0.009995,            0.009995,            0.009995
                   4,            0.022976,            0.027394,           0.0017143,             0.96681,              0.9225,             0.97863,              0.7447,            0.018054,           0.0067782,          0.00065192,            0.009995,            0.009995,            0.009995
                   5,            0.021646,            0.025548,           0.0012853,             0.93953,             0.88832,              0.9547,             0.73758,            0.017988,           0.0081149,          0.00079757,           0.0099911,           0.0099911,           0.0099911
                   6,            0.020773,            0.025047,           0.0010894,             0.97657,             0.94277,             0.98829,             0.79339,            0.016126,           0.0062017,          0.00047609,           0.0099861,           0.0099861,           0.0099861
                   7,             0.01985,            0.024367,          0.00099496,             0.96096,             0.96036,             0.98638,             0.80447,            0.016335,           0.0062464,          0.00035876,             0.00998,             0.00998,             0.00998
                   8,            0.019719,             0.02436,           0.0010705,             0.96907,             0.95304,             0.98646,             0.79099,            0.015844,           0.0060819,          0.00032556,           0.0099728,           0.0099728,           0.0099728
                   9,            0.019423,            0.024218,          0.00095256,              0.9581,              0.9583,             0.98669,             0.80039,            0.016421,           0.0060476,          0.00028331,           0.0099645,           0.0099645,           0.0099645
                  10,            0.019034,            0.024616,          0.00091489,             0.94731,             0.96873,             0.98762,             0.80897,            0.016385,           0.0060757,          0.00038888,           0.0099551,           0.0099551,           0.0099551
                  11,              0.0186,            0.022621,          0.00093376,             0.94502,             0.97936,             0.98827,              0.8188,            0.015545,            0.006055,          0.00035377,           0.0099446,           0.0099446,           0.0099446
                  12,            0.018377,            0.022284,          0.00077817,             0.97409,             0.96652,             0.98926,               0.823,            0.015391,           0.0057758,          0.00034871,            0.009933,            0.009933,            0.009933
                  13,            0.018199,            0.022531,          0.00070456,             0.95955,             0.97427,             0.99056,             0.82883,             0.01534,           0.0056972,          0.00037832,           0.0099203,           0.0099203,           0.0099203
                  14,            0.018552,            0.022978,          0.00077064,             0.97037,             0.96935,              0.9912,             0.82238,            0.015858,           0.0057905,          0.00039457,           0.0099065,           0.0099065,           0.0099065
                  15,            0.018236,            0.022384,          0.00072309,             0.96471,             0.97373,              0.9905,             0.81953,            0.015845,           0.0057489,          0.00040436,           0.0098916,           0.0098916,           0.0098916
                  16,            0.017839,             0.02151,          0.00061281,             0.97585,             0.95295,             0.98948,             0.82787,            0.015794,            0.005846,          0.00031246,           0.0098757,           0.0098757,           0.0098757
                  17,            0.017778,            0.022881,           0.0007617,             0.96666,             0.96849,             0.99093,              0.8289,            0.015422,            0.005656,          0.00042711,           0.0098586,           0.0098586,           0.0098586
