               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04934,            0.036761,            0.013937,             0.71851,             0.79345,             0.79764,             0.38939,            0.029597,            0.010714,           0.0032101,            0.003329,            0.003329,            0.070039
                   1,            0.036444,            0.031226,           0.0045381,              0.8372,             0.86127,             0.92195,              0.5866,            0.024217,           0.0081202,           0.0019271,           0.0066619,           0.0066619,            0.040039
                   2,            0.034078,            0.029824,           0.0031582,             0.95406,             0.85811,             0.94568,             0.63486,             0.02373,           0.0081331,           0.0015556,           0.0099934,           0.0099934,            0.010037
                   3,            0.029915,            0.028995,           0.0027998,             0.95194,             0.85798,              0.9492,             0.64964,            0.021713,           0.0082115,            0.001045,            0.009995,            0.009995,            0.009995
                   4,             0.02564,            0.026523,           0.0020323,             0.95931,             0.93324,             0.96885,              0.7361,            0.019655,           0.0070051,          0.00090316,            0.009995,            0.009995,            0.009995
                   5,            0.023514,            0.027577,           0.0017698,             0.94811,             0.91477,             0.97278,             0.75052,            0.017619,           0.0074707,          0.00064584,           0.0099911,           0.0099911,           0.0099911
                   6,            0.022393,            0.026382,           0.0016188,             0.96213,             0.92937,             0.98059,             0.76826,            0.016821,           0.0065657,          0.00073893,           0.0099861,           0.0099861,           0.0099861
                   7,            0.022048,            0.024426,           0.0014414,             0.96878,             0.94481,             0.98597,             0.77294,            0.015877,           0.0064652,          0.00062887,             0.00998,             0.00998,             0.00998
                   8,            0.021309,            0.024444,           0.0012695,             0.96792,             0.94562,             0.98702,             0.79227,            0.016481,           0.0061869,          0.00041283,           0.0099728,           0.0099728,           0.0099728
                   9,            0.021193,            0.024975,           0.0013409,             0.98874,              0.9341,             0.98848,             0.79789,            0.015308,           0.0062499,          0.00041648,           0.0099645,           0.0099645,           0.0099645
                  10,            0.020874,            0.024688,           0.0011416,             0.95629,             0.91224,             0.97317,             0.75404,            0.017201,           0.0073028,          0.00038966,           0.0099551,           0.0099551,           0.0099551
