upper_1 [1151.65,656.55] [1224.22,649.32] [1224.53,781.07] [1151.79,787.20]
upper_2 [1267.00,645.07] [1348.38,636.97] [1348.99,770.57] [1267.42,777.45]
upper_3 [1360.03,635.81] [1436.88,628.16] [1437.70,763.09] [1360.67,769.59]
upper_4 [1501.59,621.72] [1588.15,613.10] [1589.36,750.30] [1502.57,757.62]
upper_5 [1632.43,608.70] [1721.56,599.83] [1723.10,739.03] [1633.75,746.56]
upper_6 [1767.91,595.21] [1859.73,586.08] [1861.64,727.34] [1769.58,735.11]
upper_7 [1907.49,581.32] [2002.13,571.90] [2004.43,715.30] [1909.53,723.31]
upper_8 [2050.57,567.08] [2148.14,557.37] [2150.85,702.96] [2053.00,711.21]
upper_9 [2198.92,552.32] [2299.58,542.30] [2302.73,690.15] [2201.77,698.66]
upper_10 [2351.97,537.09] [2455.87,526.75] [2459.49,676.93] [2355.28,685.72]
upper_11 [2509.09,521.45] [2616.37,510.77] [2620.47,663.36] [2512.87,672.43]
upper_12 [2672.24,505.21] [2783.08,494.18] [2787.71,649.26] [2676.52,658.63]
upper_13 [2840.83,488.43] [2955.42,477.03] [2960.60,634.68] [2845.64,644.37]
upper_14 [3015.13,471.09] [3133.65,459.29] [3139.43,619.60] [3020.51,629.63]
upper_15 [3194.43,453.24] [3317.09,441.03] [3323.49,604.08] [3200.41,614.46]
middle_1 [1152.56,890.57] [1226.11,885.26] [1226.43,1018.11] [1152.71,1022.31]
middle_2 [1237.49,884.43] [1319.33,878.52] [1319.87,1012.79] [1237.84,1017.46]
middle_3 [1361.17,875.49] [1438.35,869.91] [1439.19,1006.00] [1361.82,1010.40]
middle_4 [1535.50,862.89] [1622.35,856.61] [1623.65,995.49] [1536.57,1000.45]
middle_5 [1667.88,853.32] [1757.33,846.86] [1758.98,987.78] [1669.30,992.89]
middle_6 [1804.99,843.41] [1897.17,836.75] [1899.19,979.79] [1806.77,985.06]
middle_7 [1946.29,833.20] [2041.32,826.33] [2043.74,971.56] [1948.45,976.99]
middle_8 [2091.17,822.72] [2189.16,815.64] [2192.00,963.11] [2093.73,968.71]
middle_9 [2241.42,811.86] [2342.54,804.55] [2345.83,954.35] [2244.41,960.13]
middle_10 [2396.48,800.65] [2500.89,793.11] [2504.65,945.31] [2399.93,951.27]
middle_11 [2515.86,792.02] [2622.82,784.29] [2626.96,938.34] [2519.67,944.45]
middle_12 [2721.08,777.19] [2832.52,769.13] [2837.32,926.36] [2725.52,932.73]
middle_13 [2892.01,764.83] [3007.26,756.50] [3012.63,916.37] [2897.01,922.96]
middle_14 [3068.80,752.05] [3188.04,743.43] [3194.03,906.04] [3074.38,912.85]
middle_15 [3249.70,738.98] [3373.11,730.06] [3379.73,895.46] [3255.90,902.51]
lower_1 [1151.51,1126.66] [1224.67,1123.38] [1225.08,1295.55] [1151.70,1297.39]
lower_2 [1299.78,1120.01] [1349.88,1117.76] [1350.68,1292.42] [1300.42,1293.67]
lower_3 [1362.33,1117.20] [1446.19,1113.45] [1447.29,1290.01] [1363.16,1292.11]
lower_4 [1504.42,1110.83] [1623.94,1105.48] [1625.62,1285.56] [1505.71,1288.55]
lower_5 [1637.17,1104.88] [1760.28,1099.36] [1762.42,1282.14] [1638.89,1285.22]
lower_6 [1815.06,1096.91] [1865.07,1094.67] [1867.57,1279.52] [1817.39,1280.77]
lower_7 [1914.06,1092.47] [2045.66,1086.57] [2048.80,1274.99] [1916.74,1278.29]
lower_8 [2059.34,1085.96] [2194.26,1079.91] [2197.94,1271.27] [2062.53,1274.65]
lower_9 [2245.95,1077.59] [2347.58,1073.04] [2351.85,1267.43] [2249.83,1269.97]
lower_10 [2410.46,1070.22] [2467.13,1067.68] [2471.86,1264.43] [2414.97,1265.85]
lower_11 [2522.68,1065.19] [2671.18,1058.53] [2676.72,1259.32] [2527.63,1263.04]
lower_12 [2686.73,1057.83] [2798.81,1052.81] [2804.84,1254.96] [2692.30,1257.78]
lower_13 [2857.21,1050.19] [3015.92,1043.08] [3022.89,1250.67] [2863.51,1254.65]
lower_14 [3032.55,1042.33] [3141.44,1037.45] [3148.96,1247.53] [3039.59,1250.26]
