upper_1 [697.15,754.63] [824.06,760.02] [809.38,907.24] [681.04,902.36]
upper_2 [897.45,763.13] [1034.19,768.94] [1021.86,915.31] [883.60,910.06]
upper_3 [1053.47,769.76] [1178.80,775.08] [1168.06,920.86] [1041.35,916.05]
upper_4 [1281.95,779.45] [1416.63,785.17] [1408.49,929.99] [1272.35,924.82]
upper_5 [1484.10,788.03] [1617.12,793.68] [1611.15,937.68] [1476.70,932.58]
upper_6 [1684.86,796.55] [1816.24,802.13] [1812.38,945.32] [1679.61,940.28]
upper_7 [1883.14,804.97] [2012.91,810.48] [2011.12,952.87] [1879.99,947.89]
upper_8 [2077.93,813.24] [2206.12,818.68] [2206.34,960.28] [2076.82,955.36]
upper_9 [2271.41,821.45] [2398.05,826.82] [2400.24,967.64] [2272.30,962.79]
upper_10 [2462.55,829.56] [2587.67,834.87] [2591.78,974.92] [2465.40,970.12]
upper_11 [2650.37,837.53] [2774.00,842.78] [2779.97,982.06] [2655.11,977.32]
upper_12 [2836.97,845.45] [2959.12,850.64] [2966.93,989.16] [2843.57,984.48]
upper_13 [3021.35,853.28] [3142.06,858.40] [3151.65,996.18] [3029.76,991.55]
upper_14 [3203.55,861.01] [3322.84,866.07] [3334.18,1003.11] [3213.74,998.53]
upper_15 [3382.63,868.61] [3500.54,873.62] [3513.57,1009.92] [3394.54,1005.40]
middle_1 [669.27,1021.14] [799.93,1025.63] [784.70,1178.66] [652.54,1174.73]
middle_2 [819.85,1026.32] [960.94,1031.17] [947.55,1183.50] [804.85,1179.25]
middle_3 [1031.61,1033.60] [1159.44,1037.99] [1148.28,1189.47] [1019.02,1185.62]
middle_4 [1315.84,1043.37] [1451.61,1048.04] [1443.70,1198.25] [1306.43,1194.17]
middle_5 [1521.31,1050.43] [1655.38,1055.04] [1649.71,1204.38] [1514.18,1200.35]
middle_6 [1725.32,1057.45] [1857.70,1062.00] [1854.22,1210.46] [1720.41,1206.48]
middle_7 [1926.76,1064.37] [2057.50,1068.87] [2056.15,1216.47] [1924.02,1212.54]
middle_8 [2124.62,1071.17] [2253.74,1075.61] [2254.47,1222.36] [2123.99,1218.48]
middle_9 [2321.11,1077.93] [2448.64,1082.31] [2451.40,1228.22] [2322.54,1224.39]
middle_10 [2515.18,1084.60] [2641.15,1088.93] [2645.89,1234.00] [2518.62,1230.22]
middle_11 [2658.92,1089.54] [2783.73,1093.83] [2789.92,1238.29] [2663.83,1234.54]
middle_12 [2895.22,1097.67] [3018.16,1101.89] [3026.70,1245.33] [2902.53,1241.64]
middle_13 [3082.31,1104.10] [3203.78,1108.27] [3214.16,1250.90] [3091.50,1247.26]
middle_14 [3267.16,1110.45] [3387.17,1114.58] [3399.35,1256.41] [3278.17,1252.81]
middle_15 [3447.82,1116.67] [3566.42,1120.74] [3580.33,1261.79] [3460.58,1258.23]
lower_1 [636.67,1298.15] [768.86,1301.59] [748.39,1506.77] [614.20,1504.11]
lower_2 [901.20,1305.03] [987.65,1307.28] [970.45,1511.17] [882.71,1509.43]
lower_3 [1008.90,1307.83] [1149.85,1311.50] [1135.06,1514.43] [992.02,1511.60]
lower_4 [1245.47,1313.98] [1436.20,1318.95] [1425.60,1520.18] [1232.09,1516.35]
lower_5 [1456.88,1319.48] [1645.15,1324.38] [1637.55,1524.38] [1446.57,1520.60]
lower_6 [1726.62,1326.50] [1799.82,1328.40] [1794.43,1527.48] [1720.19,1526.01]
lower_7 [1870.45,1330.24] [2055.07,1335.04] [2053.26,1532.61] [1866.05,1528.90]
lower_8 [2073.85,1335.53] [2255.05,1340.24] [2256.02,1536.62] [2072.31,1532.98]
lower_9 [2322.60,1342.00] [2452.53,1345.38] [2456.20,1540.59] [2324.50,1537.98]
lower_10 [2531.05,1347.42] [2600.63,1349.23] [2606.31,1543.56] [2535.78,1542.16]
lower_11 [2667.78,1350.98] [2842.29,1355.52] [2851.19,1548.41] [2674.36,1544.91]
lower_12 [2860.16,1355.98] [2986.75,1359.28] [2997.49,1550.20] [2869.24,1547.65]
lower_13 [3051.21,1360.95] [3221.47,1365.38] [3235.33,1556.01] [3062.87,1552.60]
lower_14 [3238.90,1365.83] [3351.24,1368.76] [3366.77,1558.61] [3252.99,1556.36]
